ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,stim_size,pref_unit,stimuli
NaN,Manifold,25,,"CMA Evolution of Ch 57 (V4) evolution 191115(CRP). ch 57 (-3,-4) 4 1, MU 5/5 generate PCs for later PC space tuning
003 at 1256 PM
57 (-3,-4) 4 1, MU 5/5
Much more sustained activity
climbing slowly but ok
he's taking very long naps. Seems like a one-evolution day
Go to gen 72, norm 424
Completed",Beto64chan-15112019-003,191115_Beto_generate_parallel(1),57,4,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191115a\backup_11_15_2019_12_56_11
NaN,Manifold,26,,"Derived from PCs of Ch 55 (V4) evolution 191118(BXW). ch  55 [-2.5 -2.8] 1 3 MU  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
006 Selectivity Basic starts 14:14
Norm 319 
6-7 gens good
 Completed",Beto64chan-18112019-006,191118_Beto_selectivity_basic(1),55,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191118a-selectivity
NaN,Manifold,26,,"RFMapping Heatmap of Ch 55 (V4) evolution 191118(BXW). ch  55 [-2.5 -2.8] 1 3 MU -1.5:0.5:1.5
004 RF mapping for heatmap starts 14:05
chan 55 [-2.5 -2.8] 1 3 MU 
PSTH waveform looks just like the evolved one! 
Norm 319
Surprisingly, it's not the most salient part in our eye! It's the black and white thing. 
Completed",Beto64chan-18112019-004,191118_Beto_rfMapper_basic(1),55,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-06-RF-mapping\2019-11-18-Beto-chan55
NaN,Manifold,26,,"CMA Evolution of Ch 55 (V4) evolution 191118(BXW). ch  55 [-2.5 -2.8] 1 3 MU  generate PCs for later PC space tuning
003  Evolution 
Starts 13:38 PM - 2:01 
chan 55 [-2.5 -2.8] 1 3 MU 
Both curve going up right away ! Cool  
Sleep at 13:41 
Climb up really quick! 
Also gets more sustained, the peak extended
Recurrency
Gets the visual cortex to fire sustainedly 
What does that mean?
Around 20 generation gets a even higher secondary peak around 100ms ! (TaisingLee's feedback result?)
Nearly plateau around 25-30 generations. 
Secondary peak gets insanely high! 
Monkey works quite well today! 
The evolution seems quite successful and sustained now! 
Completed",Beto64chan-18112019-003,191118_Beto_generate_parallel(1),55,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191118a\backup_11_18_2019_13_37_22
NaN,Manifold,27,,"Derived from PCs of Ch 26 (IT) evolution 191119(CRP). ch 26 (-2.1 -0.6) 3 1, SU 1/5  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
008 at 105 PM
manifold, selectivity, for
ch 26 (-2.1 -0.6) 3 1, SU 1/5
upped reward to 120 ms, has had 200 cc almost?!
131 PM, almost done, 6 full reps, 300 cc
completed",Beto64chan-19112019-008,191119_Beto_selectivity_basic,26,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191119a-selectivity
NaN,Manifold,27,,"RFMapping Heatmap of Ch 26 (IT) evolution 191119(CRP). ch 26 (-2.1 -0.6) 3 1, SU 1/5 -1.5:0.5:1.5
007 at 1254 
heatmap for ch 26 (-2.1 -0.6) 3 1, SU 1/5
he's fixating terribly…
finished, 4 reps
completed",Beto64chan-19112019-007,191119_Beto_rfMapper_basic(4),26,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-06-RF-mapping\2019-11-19-Beto-chan26-heatmap
NaN,Manifold,27,,"CMA Evolution of Ch 26 (IT) evolution 191119(CRP). ch 26 (-2.1 -0.6) 3 1, SU 1/5  generate PCs for later PC space tuning
006 at 1212 PM
evolution
ch 26 (-2.1 -0.6) 3 1, SU 1/5
looks to have a strong off-response. Maybe we should change window
completed",Beto64chan-19112019-006,191119_Beto_generate_parallel(1),26,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191119a\backup_11_19_2019_12_11_50
NaN,Manifold,28,,"Derived from PCs of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 3 1 4/5  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
007 Manifold experiment starts 
39 [0 0] 3
PC23 manifold for the 1st experiment 
Continues - 15:50
Norm 297
Complete",Beto64chan-20112019-007,191120_Beto_selectivity_basic(1),39,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191120a-seletivity
NaN,Manifold,28,,"RFMapping Heatmap of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 3 1 4/5 -1.5:0.5:1.5
004 RF mapping 14:41 starts
For the 3 deg image in 1st evolution today 
39 [0 0 ] 3 
1.5:0.5:1.5
Complete",Beto64chan-20112019-004,191120_Beto_rfMapper_basic(1),39,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-06-RF-mapping\2019-11-20a-Beto-chan39
NaN,Manifold,28,,"CMA Evolution of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 3 1 4/5  generate PCs for later PC space tuning
002 at 203 PM
Generate
ch 39, MU 4/5
responsive
(0,0) 3 1
Complete
Project_BigEvo",Beto64chan-20112019-002,191120_Beto_generate_parallel,39,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191120a\backup_11_20_2019_13_31_48
NaN,Manifold,29,,"Derived from PCs of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 1 1 4/5  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
006 Manifold experiment starts 14:57 
39 [0 0] 1 
PC23 manifold for the 2nd evolution. 
Seems more plateaued as many V1 evolutions 
Norm 302 
Complete",Beto64chan-20112019-006,191120_Beto_selectivity_basic,39,1,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191120b-selectivity
NaN,Manifold,29,,"RFMapping Heatmap of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 1 1 4/5 -1.5:0.5:1.5
005 RF mapping 
For the 1 deg evolved image from the 2nd evolution today. 
39 [0 0 ] 1  
-0.5:0.25:0.5
Seems he is quite attentive for this experiment! Why 
Eye movement seems to be too large for the mapping to work 
Complete",Beto64chan-20112019-005,191120_Beto_rfMapper_basic(2),39,1,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-06-RF-mapping\2019-11-20a-Beto-chan39
NaN,Manifold,29,,"CMA Evolution of Ch 39 (V1) evolution 191120(CRP BXW). ch 39, MU (0,0) 1 1 4/5  generate PCs for later PC space tuning
003 at 221 PM
evolution
ch 39 (0,0) 1 1
test to see if we can evolve something as efficiently as with 
Plateaued around 23 gens. ~ 300 activations. 
Higher initial response. 
~ stop ~ 31 
Complete",Beto64chan-20112019-003,191120_Beto_generate_parallel(1),39,1,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191120b\backup_11_20_2019_14_21_08
NaN,Manifold,30,,"Derived from PCs of Ch 45 (V1) evolution 191121(CRP). ch 45 (0,0) 3 1, hash (MU 5/5)  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
008 at 206 PM
45 (-0.3,0.2) 3 1 
manifold
reward at 130 ms plus acq
working well, at 86%, has had around 200 cc so far
Completed",Beto64chan-21112019-008,191121_Beto_selectivity_basic(2),45,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191121b-selectivity
NaN,Manifold,30,,"RFMapping Heatmap of Ch 45 (V1) evolution 191121(CRP). ch 45 (0,0) 3 1, hash (MU 5/5) -1.5:0.5:1.5
005 at 123 PM
Heatmap (0,0) -1.5:0.5:1.5
45 (0,0) 3 1, hash (MU 5/5)
Completed",Beto64chan-21112019-005,191121_Beto_rfMapper_basic(1),45,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-06-RF-mapping\2019-11-21a-Beto-chan45
NaN,Manifold,30,,"CMA Evolution of Ch 45 (V1) evolution 191121(CRP). ch 45 (0,0) 3 1, hash (MU 5/5)  generate PCs for later PC space tuning
004 at 
evolution
45 (0,0) 3 1, hash (MU 5/5)
started initial responses at around 80 and 120
lost eye movements! Paused experiment
looks like it got there faster:
will go up to 30 completed blocks, then heatmap with this evolution
Completed",Beto64chan-21112019-004,191121_Beto_generate_parallel(2),45,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191121b\backup_11_21_2019_13_02_02
NaN,Manifold,31,,"Derived from PCs of Ch 45 (V1) evolution 191121(CRP). ch 45 (0,0) 1 1, hash (MU 5/5)  -degrees  121 images from PC23 space, add the pasupathy images to it. white background 4 rotations.
Manifold with 1-deg
006 at 136 PM
first evolution image, at 
looks peaky-ish?
shaking a bit, bumped him to 100 once he resumed work. 
Put him up to 130, he's been working a while… only had 175 mL.",Beto64chan-21112019-006,191121_Beto_selectivity_basic,45,1,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191121a-selectivity
NaN,Manifold,31,,"CMA Evolution of Ch 45 (V1) evolution 191121(CRP). ch 45 (0,0) 1 1, hash (MU 5/5)  generate PCs for later PC space tuning
003 at 1242
evolution 
45 (0,0) 1 1, hash (MU 5/5)
responses much higher, at 70 and 120, so stimulus better positioned
He's taking a nap, 68% performance so far
we'll go to generation 30 then try again with 3-deg stimulus
Completed",Beto64chan-21112019-003,191121_Beto_generate_parallel(1),45,1,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191121a\backup_11_21_2019_12_42_39
NaN,Manifold,32,,"Derived from Ch 48 (V1) evolution 191122(CRP) manifold for 1-deg evolution 48 (0,0) 1 1 , hash (MU 5/5)
006 at 1252
manifold for 1-deg evolution
48 (0,0) 1 1 , hash (MU 5/5)
Completed",Beto64chan-22112019-006,191122_Beto_selectivity_basic(1),48,1,NaN,N:\Stimuli\2019-Manifold\beto-191122a-selectivity
NaN,Manifold,32,,"CMA Evolution of Ch 48 (V1) evolution 191122(CRP). ch 48 (0,0) 1 1 , hash (MU 5/5)  generate PCs for later PC space tuning Had an error about missing a generator picture. Not sure what that was about.responsive enough, I guess:
002 at 1143 AM
evolution
48 (0,0) 1 1 , hash (MU 5/5)
Had an error about missing a generator picture. Not sure what that was about.
responsive enough, I guess:",Beto64chan-22112019-002,191122_Beto_generate_parallel,48,1,NaN,N:\Stimuli\2019-Manifold\beto-191122a\backup_11_22_2019_11_43_58
NaN,Manifold,33,,"Derived from Ch 48 (V1) evolution 191122(CRP) manifold for 3-deg evolution 48 (0,0) 3 1 , hash (MU 5/5)
007 at 109 PM
manifold for 3-deg evolution
48 (0,0) 3 1 , hash (MU 5/5)
Completed",Beto64chan-22112019-007,191122_Beto_selectivity_basic(2),48,3,NaN,N:\Stimuli\2019-Manifold\beto-191122b-selectivity
NaN,Manifold,33,,"RFMapping Ch 48 (V1) evolution 191122(CRP) heatmap  48 (-1.5:0.5:1.5) at 3 deg
004 at 1231 PM
heatmap 
48 (-1.5:0.5:1.5) at 3 deg
Completed",Beto64chan-22112019-004,191122_Beto_rfMapper_basic(1),48,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-11-22b-Beto-chan48
NaN,Manifold,33,,"CMA Evolution of Ch 48 (V1) evolution 191122(CRP). ch 48  evolution 48 (0,0) 3 1 , hash (MU 5/5) .
 003 at 1205 PM
evolution
48 (0,0) 3 1 , hash (MU 5/5)
initial responses seem a bit lower - maybe about 40 spikes/s vs 50-60 in the previous experiment. We want to know how long before we get past 100 sp/s (took about 6 generations before)
huh, got to 120 in 7 generations…
has been going for 22 minutes, taking long naps, 27 completed",Beto64chan-22112019-003,191122_Beto_generate_parallel(1),48,3,NaN,N:\Stimuli\2019-Manifold\beto-191122b\backup_11_22_2019_12_04_52
NaN,Manifold,34,,"Selectivity for the first exp CMA Evolution of Ch 41 (V1) evolution 191125(BXW). For 41 chan [0 0 ] 1 deg 1
005 Selectivity for the first exp  
For 41 chan [0 0 ] 1 deg 1  
Completed",Beto64chan-25112019-005,191125_Beto_selectivity_basic,41,1,NaN,N:\Stimuli\2019-Manifold\beto-191125a-selectivity
NaN,Manifold,34,,"CMA Evolution of 2nd Ch 41 (V1) evolution 191125(BXW) 1 deg evolution  41 [0 0] 1 deg 1 002 starts 14:54
1 deg evolution 
41 [0 0] 1 deg 1 
Note some artifacts related to the magnets, rewards or the sounds. 
There is a huge amplitude response for such things. 
Successful, growing features. 
[ seems the baseline images are just too bad for evoking activities in these channels
Evolv from 50 – 150 
Completed",Beto64chan-25112019-002,191125_Beto_generate_parallel(1),41,1,NaN,N:\Stimuli\2019-Manifold\beto-191125a\backup_11_25_2019_13_53_16
NaN,,35,,"Selectivity Manifold Experiment  for the CMA Evolution of Ch 41 (V1) evolution 191125(BXW)  For 41 chan [0 0 ] 3 deg 1 
006 Selectivity Manifold Experiment  for the second evolution  bvb 
For 41 chan [0 0 ] 3 deg 1 
Monkey logic crushed midway because of a mistake......
Don't select reset during experiments! 
Complete but incomplete",Beto64chan-25112019-006,191125_Beto_selectivity_basic(1),41,3,NaN,N:\Stimuli\2019-Manifold\beto-191125b-selectivity
NaN,,35,,"Selectivity Manifold Experiment  for the CMA Evolution of Ch 41 (V1) evolution 191125(BXW)  For 41 chan [0 0 ] 3 deg 1  
007 Selectivity starts 15:46 
Starts s
Consume 320 cc today 
Ends 15:56
Should be combined with the last experiment to do analysis…..
Completed",Beto64chan-25112019-007,191125_Beto_selectivity_basic(2),41,3,NaN,N:\Stimuli\2019-Manifold\beto-191125b-selectivity
NaN,Manifold,35,,"Selectivity Manifold Experiment  for the CMA Evolution of Ch 41 (V1) evolution 191125(BXW). Combined. 
Selectivity Manifold Experiment  for the CMA Evolution of Ch 41 (V1) evolution 191125(BXW)  For 41 chan [0 0 ] 3 deg 1 
006 Selectivity Manifold Experiment  for the second evolution  bvb 
For 41 chan [0 0 ] 3 deg 1 
Monkey logic crushed midway because of a mistake......
Don't select reset during experiments! 
Complete but incomplete

Selectivity Manifold Experiment  for the CMA Evolution of Ch 41 (V1) evolution 191125(BXW)  For 41 chan [0 0 ] 3 deg 1  
007 Selectivity starts 15:46 
Starts s
Consume 320 cc today 
Ends 15:56
Should be combined with the last experiment to do analysis…..
Completed",Beto64chan-25112019-006_cmb,191125_Beto_selectivity_basic(1)_cmb,41,3,NaN,N:\Stimuli\2019-Manifold\beto-191125b-selectivity
NaN,Manifold,35,,"RF Mapping for Ch 41 (V1), 191125(BXW) 41 [0 0 ] 3 deg 1  Starts from 50 – 150 in 40 gens
004  Heat map 
41 [0 0 ] 3 deg 1 
Starts from 50 – 150 in 40 gens 
Completed",Beto64chan-25112019-004,191125_Beto_rfMapper_basic(1),41,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-11-25-Beto-chan41
NaN,Manifold,35,,"CMA Evolution of Ch 41 (V1) evolution 191125(BXW) 41 [0 0 ] 3 deg 1  Evoked also has higher rate  
003 
41 [0 0 ] 3 deg 1 
Evoked also has higher rate 
Going up at around 8 gens. 
Climbing towards plateau around 25 gens. 
Climbing again at around 20 gens 
Climb again at around 30 gens? 
Stops at 35 
Completed",Beto64chan-25112019-003,191125_Beto_generate_parallel(2),41,3,NaN,N:\Stimuli\2019-Manifold\beto-191125b\backup_11_25_2019_14_16_32
NaN,Manifold,36,,"manifold for first Evolution Ch 44 (V1) 191126(CRP) images presented at 1-deg 44 (0,0) 1 MU 5/5 pasupathy shapes doing great!
005 at 
manifold for first evolution, images presented at 1-deg
44 (0,0) 1 MU 5/5
pasupathy shapes doing great!
5 completed blocks",Beto64chan-26112019-005,191126_Beto_selectivity_basic,44,1,NaN,N:\Stimuli\2019-Manifold\beto-191126a-selectivity
NaN,Manifold,36,,"Evolution Ch 44 (V1) 191126(CRP) evolution 44 (0,0) 1 1 , MU 5/5 (hash)
002 at 1255 PM
evolution
44 (0,0) 1 1 , MU 5/5 (hash)
Will go to 30 completed generations
about 200 spikes per s
Project_BigEvo",Beto64chan-26112019-002,191126_Beto_generate_parallel,44,1,NaN,N:\Stimuli\2019-Manifold\beto-191126a\backup_11_26_2019_12_54_59
NaN,Manifold,37,,"manifold for second Evolution Ch 44 (V1) 191126(CRP) images presented at 3-deg 44 (0,0) 3 1, MU 5/5 (hash) 5 completed blocks at
006 at 203 PM
manifold for second evolution, images presented at 3-deg
44 (0,0) 3 1, MU 5/5 (hash)
5 completed blocks at",Beto64chan-26112019-006,191126_Beto_selectivity_basic(1),44,3,NaN,N:\Stimuli\2019-Manifold\beto-191126b-selectivity
NaN,Manifold,37,,"Evolution Ch 44 (V1) 191126(CRP) heatmap for evolution 44 (0,0) 3 1, MU 5/5 (hash)
004 at 141 PM
heatmap for evolution 44 (0,0) 3 1, MU 5/5 (hash)",Beto64chan-26112019-004,191126_Beto_rfMapper_basic(1),44,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-11-26-Beto-chan44
NaN,Manifold,37,,"Evolution Ch 44 (V1) 191126(CRP) 44 (0,0) 3 1, MU 5/5 (hash) interesting! Very suppressed by surround!
003 at 116 PM
44 (0,0) 3 1, MU 5/5 (hash)
interesting! Very suppressed by surround!
Project_BigEvo",Beto64chan-26112019-003,191126_Beto_generate_parallel(1),44,3,NaN,N:\Stimuli\2019-Manifold\beto-191126b\backup_11_26_2019_13_16_10
NaN,Manifold,38,,"005  starts 12:36  Manifold for 1st Evolution 
Ch 46 (0 0 ) 1 1 
Norm 315",Beto64chan-27112019-005,191127_Beto_selectivity_basic,46,1,NaN,N:\Stimuli\2019-Manifold\beto-191127a-selectivity
NaN,Manifold,38,,"002 at 1135 evolution tried 46 and 47 at (-2,-3), but psths were flat. Moving to fovea made a big difference to 46.  evolution 46 (0,0) 1 1, MU 5/5 (hash). Very visually responsive",Beto64chan-27112019-002,191127_Beto_generate_parallel,46,1,NaN,N:\Stimuli\2019-Manifold\beto-191127a\backup_11_27_2019_11_33_15
NaN,Manifold,39,,"006  starts  13:05 
13:05  Ch 46 (0 0 ) 3 1 
Norm 316",Beto64chan-27112019-006,191127_Beto_selectivity_basic(1),46,3,NaN,N:\Stimuli\2019-Manifold\beto-191127b-selectivity
NaN,Manifold,39,,"004   RFMapping Ch 46  (0 0) 3 1 MU 5/5",Beto64chan-27112019-004,191127_Beto_rfMapper_basic(1),46,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-11-27-Beto-chan46
NaN,Manifold,39,,"003 at 1155 evolution  Ch 46 (0,0) 3 1, MU 5/5 (hash) 25 gens goes to 200 ~ spike. 
Gets to around 35 gens",Beto64chan-27112019-003,191127_Beto_generate_parallel(1),46,3,NaN,N:\Stimuli\2019-Manifold\beto-191127b\backup_11_27_2019_11_55_27
NaN,Manifold,40,,"006 Manifold  starts 14:36  191202 (BXW) For the first Exp 1deg Norm 330   Ch 47 [0 0] 1 1 
Has been 30 min monkey shakes a lot.",Beto64chan-02122019-006,191202_Beto_selectivity_basic,47,1,NaN,N:\Stimuli\2019-Manifold\beto-191202a-selectivity
NaN,Manifold,40,,"002   starts 12:51 191202 (BXW)
Evolve 
 Ch 47 [0 0 ] 1 1 
Seems monkey is much more motivated to see evolution exp than RF mapping 
Going up really fast starts evolving 3 gen?
 
More firing comes into the 80-100 time bin 
Marginally evolvable? Doesn't go up crazily 
It is going up but in a wanderous way. 
Finding a new motif at around 13 gens 
Goes till 20 gens 
From 140 sth- 200 sth. Slowly and gradually. 
Past 200 at around 30 gens 
Wandering at around 35 gens",Beto64chan-02122019-002,191202_Beto_generate_parallel,47,1,NaN,N:\Stimuli\2019-Manifold\beto-191202a\backup_12_02_2019_12_48_57
NaN,Manifold,41,,"007 Manifold  starts 15:09  191202 (BXW) Norm 325   Ch 47 [0 0 ] 3 1  3 deg is really much easier for him to fixate.  Add some acquisition reward.   Add acquisition reward and bump him up greatly!  Already 32 min.… 4 blocks finished, last block can we do it?  The last part is really dificult for him has worked for 45 min in this session….
OK we are very close. May not need to go to 5??? 

About 4 repetitions Has been 55min Oh God………It's torturing him",Beto64chan-02122019-007,191202_Beto_selectivity_basic(1),47,3,NaN,N:\Stimuli\2019-Manifold\beto-191202b-selectivity
NaN,Manifold,41,,"004 RF Heatmap starts 14:01  191202 (BXW) 
Struggle with fixation for a while and we mess it up…..",Beto64chan-02122019-004,191202_Beto_rfMapper_basic(1),47,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-12-02-Beto-chan47
NaN,Manifold,41,,"003  starts 13:23  191202 (BXW) Evolve 
47 [0 0 ] 3 1 

Going up att gen 2 really quick, but plateau quick as well. 
Went past 200 at around 17 gens quicker than before.  Kind of plateau and even get down a bit! 
Closer to 230 fr 
Seems larger images evolve faster. ??

Stopped 13:55  41 gens",Beto64chan-02122019-003,191202_Beto_generate_parallel(1),47,3,NaN,N:\Stimuli\2019-Manifold\beto-191202b\backup_12_02_2019_13_22_27
NaN,Freeview,41,,"005 Free View!  191202 (BXW) You will see this first image.",Beto64chan-02122019-005,191202_Beto_freeViewing_freer(1),NaN,NaN,NaN,N:\Stimuli\2019-07-prefViewing\2019-12-02a-Beto
NaN,Manifold,42,,"007 Manifold 15:20 starts 191204 (BXW)
Exp 1  Manifold exp,  Norm 336  Ch 38 [0 0 ] 1 deg Note the Selectivity today has quite high performance! >91% 
Worked so well today! Finish 2 reps in 8 mins 
Worked 84% correct. 
20 mins",Beto64chan-04122019-007,191204_Beto_selectivity_basic,38,1,NaN,N:\Stimuli\2019-Manifold\beto-191204a-selectivity
NaN,Manifold,42,,"003 Rfmapping 191204 (BXW) chan Ch 38 [0 0 ] 1deg -4:1:4",Beto64chan-04122019-003,191204_Beto_rfMapper_basic(1),38,1,NaN,N:\Stimuli\2019-06-RF-mapping\2019-12-04-Beto-chan38
NaN,Manifold,42,,"004 generate parallel  starts 14:12 191204 (BXW)  Ch 38 [0 0 ] 1 deg   taken off around 5  Short latency very likely a magnocellular pathway cell. 
Gen 13 doesn't take off wildly, but kind of going up!  Gen 30 it's still getting up. 
21 mins past, is it still changing. 
42 gens",Beto64chan-04122019-004,191204_Beto_generate_parallel(1),38,1,NaN,N:\Stimuli\2019-Manifold\beto-191204a\backup_12_04_2019_14_11_07
NaN,Manifold,43,,"008 Manifold  15:44 starts 191204 (BXW)
Exp2  Manifold exp  Norm 365  Ch 38 [0 0 ] 3 deg Pretty good performance.  Finish one repetition in 3min?! Insane 
Starts to look around at 5 reps",Beto64chan-04122019-008,191204_Beto_selectivity_basic(1),38,3,NaN,N:\Stimuli\2019-Manifold\beto-191204b-selectivity
NaN,Manifold,43,,"006 RF mapping 191204 (BXW) Ch 38 [0 0 ] 3 deg",Beto64chan-04122019-006,191204_Beto_rfMapper_basic(2),38,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-12-04-Beto-chan38
NaN,Manifold,43,,"005 generate parallel  191204 (BXW)
Ch 38 [0 0 ] 3 deg  Still short onset 
Some off response from this guy. 
Starts climbing at around 20 sth. ? 
Really climbs at around 28 gen  Maybe we should stop at 40 sth. Climb again close to 45?",Beto64chan-04122019-005,191204_Beto_generate_parallel(2),38,3,NaN,N:\Stimuli\2019-Manifold\beto-191204b\backup_12_04_2019_14_36_04
NaN,Freeview,43,,"009 Freeview Demo  191204 (BXW) You see the title first some erroer in processing",Beto64chan-04122019-009,191204_Beto_freeViewing_freer,NaN,NaN,NaN,N:\Stimuli\2019-07-prefViewing\2019-12-04ab-Beto
NaN,Freeview,43,,"010  Freeview Demo 191204 (BXW) You see the title first",Beto64chan-04122019-010,191204_Beto_freeViewing_freer(1),NaN,NaN,NaN,N:\Stimuli\2019-07-prefViewing\2019-12-04ab-Beto
NaN,Manifold,44,,"005 at 234 PM selectivity over manifold 43 (0,0) 1, first evolution",Beto-05122019-005,191205_Beto_selectivity_basic,43,1,NaN,N:\Stimuli\2019-Manifold\beto-191205a-selectivity
NaN,Manifold,44,,"002 at 136 PM evolution 43 (0,0) 1 1, MU 5/5 (hash) working at 55%. Visually responsive: 150 recalibrated again, by changing gain on ISCAN output, seems to have helped (NOTE: if having a hard time with eye fixation, check with CRP for tricks)
159 25 blocks completed. He's not doing well - 43%. Will be brief on the experiments - 30 generations tops peak firing rate around 200",Beto-05122019-002,191205_Beto_generate_parallel,43,1,NaN,N:\Stimuli\2019-Manifold\beto-191205a\backup_12_05_2019_13_36_20
NaN,Manifold,44,,"001at 128 PM rf mapping eye signal has more noise today. Not sure why. Tried moving camera around and changing the pupil threshold signal. Upped window to 1.1 degrees 33 has nice SU, but not very visually responsive 34 (done) 35: okayish, fovea, a bit higher up 43: looks ok, RF at fovea, (-0.2,-0.1) new SU at 63 - let's see. Visually responsive but no real RF.  60: nice hash, big rf at (-2.4,-3.1). I bet 63 is also very eccentric going for 43",Beto-05122019-001,191205_Beto_rfMapper_basic,43,1,NaN,N:\Stimuli\2019-Manifold\beto-191205a-selectivity
NaN,Manifold,45,,"006 selectivity over manifold 43 (0,0) 3, second evolution",Beto-05122019-006,191205_Beto_selectivity_basic(1),43,3,NaN,N:\Stimuli\2019-Manifold\beto-191205b-selectivity
NaN,Manifold,45,,"004  heatmap",Beto-05122019-004,191205_Beto_rfMapper_basic(1),43,3,NaN,N:\Stimuli\2019-06-RF-mapping\2019-12-05-Beto-chan43
NaN,Manifold,45,,"003 at 203 PM evolution 43 (0,0) 3 1 same signal looks surround suppressed!",Beto-05122019-003,191205_Beto_generate_parallel(1),43,3,NaN,N:\Stimuli\2019-Manifold\beto-191205b\backup_12_05_2019_14_02_50
NaN,CMAGA_cmp,NaN,,"001 was rf mapping",Beto-23012020-001,200123_Beto_rfMapper_basic,NaN,3,NaN,N:\Stimuli\2019-06-RF-mapping\2020-01-23-Beto
NaN,CMAGA_cmp,1,,"002 is evolution, parallel
29 (-1 1) 3 1 CMA
29 (-1 1) 3 1 GA
so far, pretty equivalent but the images looks SO different
start at 12:36(generate integrated)
Block 28, 100 ms reward, hes had 100 mL total so far
Being grumpy and taking breaks but working ok
Added 20 aq reward, performance at 53%
Block 44, 175 reward
Black and gray lines are very close together and climbing
PSTH: black line spikes sooner than gray line
The 2 images do look different, one is mostly white with black middle, other is grayish, much less contrasting
Blasting him, 300 ms, going to block 50 then calling it a day",Beto-23012020-002,200123_Beto_generate_integrated,29,3,NaN,N:\Stimuli\2019-12-Evolutions\2020-01-23-Beto-01\2020-01-23-12-36-03
NaN,CMAGA_cmp,NaN,,"Rf basic Start 11:11, 35 ms reward. New units in 41, rf looks weird tho Stopped at 11:17, 4 blocks complete ",Beto-27012020-002,200127_Beto_rfMapper_basic,NaN,2,NaN,. 
NaN,CMAGA_cmp,2,,"Generate integrate. Ch 5 hash (1/5) [-1.5, 1] 3 1; GA vs CMAES, bigset05 first 10 images Start at 11:23. Carlos recalibrated eye at block 2. working well 45 ms reward . Evolved images are climbing…..block 16, #1(black line) is top line Block 27: Black line is wayyy above the rest and still climbing. Reward at 50 at block 30,  Stopped at 12:04, 40 blocks completed ",Beto-27012020-003,200127_Beto_generate_integrated,5,3,NaN,N:\Stimuli\2019-12-Evolutions\2020-01-27-Beto-01\2020-01-27-11-23-03
